id,text,target,language,HS,TR,AG,__index_level_0__
223,"Over the past two weeks, 1,172 refugees arrived in the US. 8,044 have arrived in FY18, but we are nearly 10,000 behind schedule. We will continue to stand for the vulnerable! #refugeeswelcome https://t.co/rYCWCz3iBt",mig,en,0,0,0,22
224,Church leaders determine to ease #economic problems at the heart of #humantrafficking plaguing #Indonesia https://t.co/DT60zpnlVd @ucanindonesia @UNmigration @ryandagur,mig,en,0,0,0,23
225,And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason https://t.co/YBuCPtPp7e,mig,en,0,0,0,24
226,"@WattersWorld @JesseBWatters @BillSpadea How about discussing this? #JoeBiden's ""black box"" of American success. #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorldhttps://t.co/k8bWjj7tnp",mig,en,1,0,1,25
227,"It is a cruel irony that sikhs often **look** more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked. https://t.co/57NitaFqce",mig,en,0,0,0,26
228,EU’s hailed migrant plan ‘˜a road to Hell’ Czech Republic refuses involvement https://t.co/sIBKJA9Dfc,mig,en,1,0,1,27
229,Could you open up your home to refugees in need? https://t.co/0F2rzmYCSw,mig,en,0,0,0,28
230,"MS-13 spreads to 22 states, fed by 300,000 illegals, DACA recipients, tied to 207 murders@GOPLeader @HouseGOP@SpeakerRyan#NoDACA #NoAmnesty#DeportThemAll#BuildTheWallAmnesty creates more Illegal Migration, always has, always will.",mig,en,1,0,1,29
231,Activists chained to Italian transport ministry to protest immigration policy https://t.co/dLCCKcCgud,mig,en,0,0,0,30
232,"Spain: migrants riot to protest against the slow WIFI, the uncomfortable bed and the disgusting food In the shelter - Free Speech Time - https://t.co/APCZjuflhw @ISupport_Israel",mig,en,0,0,0,31
233,"Please listen to a Syrian refugee now in Germany.  He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are. https://t.co/wkgRDvxRlN",mig,en,0,0,0,32
234,The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn't mean 1. 4 u,mig,en,1,0,0,33
235,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @realDonaldTrump https://t.co/W9lEjzbtBF",mig,en,0,0,0,34
236,"Watch: French Mayor Declares ""Muslim migrants are not welcome here"" - Free Speech Time - https://t.co/B59JBkSyXH @ISupport_Israel",mig,en,1,0,1,35
237,Border Ranchers Shock MSNBC With Facts On Illegal Immigration https://t.co/v3YTvUAabS via @dailycaller,mig,en,0,0,0,36
238,"Texas has 'moral responsibility' to protect detained immigrant kids, Hispanic lawmakers say  Yes, and so do other 49 other jurisdictions in as many States of the Union - each having state laws against child abuse. https://t.co/ZUsLPZNwPM",mig,en,0,0,0,37
239,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda,mig,en,1,0,0,38
240,Illegal alien charged with murder of homeless woman in New York City: https://t.co/j9vjkuiI6K  #StopTheInvasion,mig,en,0,0,0,39
241,"Watch: Muslim migrants terrorizing Swedish people, including the elderly people who stand on their way - Free Speech Time - https://t.co/2PP3R7fJdz @ISupport_Israel",mig,en,1,0,0,40
242,EU is more worried about 'populism' than about tens of thousands of migrants reaching Spain https://t.co/ZGWGh76AvE,mig,en,0,0,0,41
243,(Islam in Europe) Documentary how Arab and African Immigrants Destroying... https://t.co/azrLoJbLbh via @YouTube,mig,en,1,0,1,42
244,"While @realDonaldTrump attacks our state’s immigrants, @BruceRauner has dragged his feet on signing critical legislation to protect our immigrant community, including:  ☑️ SB 34 ☑️ SB 35 ☑️ SB 3103 ☑️ SB 3109 ☑️ SB 3488  #ilgov #twill https://t.co/AyWuAZwNEf",mig,en,0,0,0,43
245,Rescued migrants arrive in Pozzallo as Italy grants approval to dock https://t.co/rqcLQ9uyhk,mig,en,0,0,0,44
246,"@AmyMek Passenger from Harlingen to Dallas,TX has infected many to measles!!! Stop the invasion. #BuildThatWall #KAG",mig,en,1,0,1,45
247,This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration,mig,en,1,0,0,46
248,"A legal immigrant leaves the US because her visa has not been renewed yet, and tons of people give her shit because of her stance against illegal immigration. Cuz Logic!!! @Barbara4u2 Stay awesome, stay positive, we all love you. https://t.co/G2rTs0O3hw",mig,en,0,0,0,47
249,Italian bishop warns that Europe must avoid “fear and xenophobia” and welcome Muslim migrants https://t.co/e5iawmYeAz via @jihadwatchRS Another Christion moron with a death wish. https://t.co/4OwEEIRJbq,mig,en,0,0,0,48
250,@RealJamesWoods And this is what we have to look forward to. We made the Arab world RICH while a few here got paid! Now we have this! #BuildThatWall,mig,en,1,0,0,49
251,"The establishment of Europe has a court of humanrights. This court allows crimerefugees to stay forever in Europe. They will not send back in her homeland. So this court has a responsibility for a mulricriminal society in future, one says. https://t.co/Q2R5OKABGj",mig,en,0,0,0,50
252,"Dear @KingJames Thank you for giving back. As a son of an immigrant who came to the US with16¢ in his pocket, thank you for giving opportunity. I am one of your biggest fans, not because of your athletic prowess, but from your commitment that EDUCATION is the ultimate equalizer. https://t.co/K8aAV6Cqhq",mig,en,0,0,0,51
253,The plight of #Rohingya represents the present and the future of not just for #Myanmar but for much of South and #SoutheastAsia https://t.co/1JMvl4m5S9 @SC_Humanitarian @save_children @MSF @UnicefAsiaPac @UNmigration @theIRC @HRWBurma @rohingyablogger @FortifyRights @OpRohingya,mig,en,0,0,0,52
254,We are no longer alone: Italian Prime Minister hails #EU migrant distribution a success https://t.co/Tk6LMEPB7f,mig,en,0,0,0,53
255,"Lisdoonvarna, a village earmarked for replacement. Along with a growing number of other towns and cities right across Ireland. Listen to Irish (FG) Minister for 'Equality, Immigration and... https://t.co/1IdSAUwiyM",mig,en,0,0,0,54
256,Let's build that wall.#BuildThatWall,mig,en,1,0,1,55
257,US Supreme Court Upholds Donald Trump's Immigration Travel Ban (for now) https://t.co/R74RVk96DN via @YouTube,mig,en,0,0,0,56
258,Worker charged with sexually molesting eight children at immigrant shelter https://t.co/w3eLVGJcUi #sasc #colga #speakup #speakout,mig,en,0,0,0,57
259,Guatemalan mother separated from her 7-year-old daughter waits https://t.co/DbVk2EYt9A,mig,en,0,0,0,58
260,"Instead of making Illinois a welcoming state, @BruceRauner has turned his back on our immigrant communities and has a series of bills sitting on his desk #ilgov #twill https://t.co/NtZNnPkNrm",mig,en,0,0,0,59
261,@liberal_party I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.https://t.co/7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.,mig,en,1,0,1,60
262,"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn #SaturdayMotivation #USOpen2018 .@reba .@katyperry .@johnrich #MAGA #BuildThatWall #RedNationRising #WalkAway",mig,en,1,0,1,61
263,The new anti-migrant national consensus https://t.co/ktZ1Jg59H5,mig,en,0,0,0,62
264,Sweden: Migrant raped 92-year old grandmother on Christmas Eve – allowed to remain in Sweden #SWRM #SendThemHome #Sweden #Rapists https://t.co/aDxcQP00Hr via @pamelageller,mig,en,1,0,0,63
265,Right on.  https://t.co/lT9NGugnfe,mig,en,0,0,0,64
266,"I have an immigrant mentality, which is that the job can be taken away at any time, so make sure you earn it every day,”   How  Pepsi’s Indra Nooyi Learned To Be A CEO https://t.co/tgGKsLYJEe",mig,en,0,0,0,65
267,"Join @survivepunish for a teach-in about surviving violence, ICE and the experiences of criminalized immigrant survivors this Thursday in SF https://t.co/zeTEn27F73 https://t.co/M3UKVv0j55",mig,en,0,0,0,66
268,Polish Prime Minister Mateusz Morawiecki insisted that Poland would push  against any discussion on refugee relocations as part of the EU’s  migration politics.https://t.co/AkuP6sjzfK,mig,en,0,0,0,67
269,"@DFBHarvard SO WELL SAID, Daniel!His speeches ALL smack of Alinsky; divide & conquer by victimizing one group & calling out the other as bigots, racists, fascist, etc.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlu",mig,en,1,0,1,68
270,"@sriharikaranth @AsYouNotWish Here it is not about Refugees or Illegal immigrants. It is about whether one has documents before 1971 or not. Now, it is difficult for slum people and beggars to show valid documents, except the name in voter list. 1st under",mig,en,1,0,0,69
271,"Refugees don't choose to be refugees. By definition, refugees have been forced to leave their home country because their lives or safety were threatened.Learn more about refugees by downloading our free e-book ""8 Things You Should Know About Refugees"" âž https://t.co/7FgO8dFr2e https://t.co/IVxoYMn5KM",mig,en,0,0,0,70
272,Rally To Support Detained Pizza-Worker Immigrant https://t.co/0Yd09XlBtK,mig,en,0,0,0,71
273,I'd say electrify the water but that would kill wildlife. #SendThemBack,mig,en,1,0,1,72
274,actually both Milo and Alex have a friend in the White House- so ain't nobody ''come' for them- unlike say muslims ot immigrant chilfren https://t.co/uqnZ8oRJ97,mig,en,0,0,0,73
275,Good news.We are against illegal immigrants.Bangladeshi must go https://t.co/yhY6HEOtLm your evidence and stay at Assam. https://t.co/34sQqHPM5z,mig,en,1,0,0,74
276,@CBSNews Just deport all these illegal aliens and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids! #MAGA #BuildTheWall #NoDACA #NoAmne,mig,en,1,0,0,75
277,"@Jeremy_Hunt @RoyalAirForce Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation..",mig,en,0,0,0,76
278,"Maninder: How I felt, when Immigration New Zealand said ""NO"" to me!: http://t.co/T5oGG0I9Cy via @YouTube",mig,en,0,0,0,77
279,"""Failing to integrate refugee children risks devastating consequences: Children and youth who are out of school and unemployed are more susceptible to crime, exploitation, abuse and possibly radicalization."" https://t.co/lnwe7uv6Cz",mig,en,0,0,0,78
280,Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person. https://t.co/UAv43Bylfb,mig,en,1,0,0,79
281,"What a way to damage LasVegas, such stupidity!! MGM turns to never-tested law to sue Vegas shooting victims   https://t.co/zgtqpu2xt5",mig,en,0,0,0,80
282,.⁦@united⁩ how about donating flights to deport the Invaders back to their homeland.  #StopTheInvasion #DeportThemAll  https://t.co/Ry2dah2KeJ,mig,en,1,0,1,81
283,"Russia did it!  Russia di....  Wait, what?  Big scary Russia is helping people go home without being detained etc? https://t.co/CmBZXrKPNV",mig,en,0,0,0,82
284,@Truthdig  Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S #Immigration law  since 1882.  Why Should  U.S Taxpayers give Welfare to Immigrants and import the World's poor  ! #Veterans  #Trump #MAGA https://t.,mig,en,1,0,1,83
285,PolitiFact Florida: Bill Nelson claims detained immigrant parents charged $8/minute to call their children. He is such a phony he makes me sick   https://t.co/roQoY8rPAB  Shared from my Google feed,mig,en,0,0,0,84
286,@ArvindKejriwal Pl save Delhi from becoming a SLUM CITY&amp;hub of illegal migrants.Pl take LG help in removing encroachments&amp;eviction of IMs,mig,en,1,0,0,85
287,As usual the media is giving two sides: a Republican side and a Democrat side on immigration. There are other views by why bother offering those up. How about we allow supply and demand for labor  decide how many cross and let Econ 101 supply and demand decide?,mig,en,0,0,0,86
288,"Netherlands: 1,400 girls per year become sex slaves to ‘˜migrant background’ men | Cape Fear Caller https://t.co/8w23fYwIVr via @TraddyCath",mig,en,0,0,0,87
289,Books to Help Kids Understand What It’s Like to Be a #Refugee https://t.co/4qybPV8rj1 #WithRefugees @tyrusmaina @Refugees @refugeeaffairs @UNHCR_Kenya @RCKDirector @imaana102,mig,en,0,0,0,88
290,Russian meddling in Syrian refugee repatriation:https://t.co/nCjMUFCJc0,mig,en,0,0,0,89
291,"@charliekirk11 We need to improve our country, schools, neighborhoods, hospitals, prisons, by kicking out the illegals. #BuildTheDamnWall #BuildThatWall",mig,en,1,0,0,90
292,"“Every nation, tribe, and tongue” still applies when they’re on your doorstep instead of you being on theirs. So many have refused to “Go” that God started to bring them to us. An anti-immigrant attitude and mindset is anti-God and His will, period.",mig,en,0,0,0,91
293,"People say, ""Why didn't this or that immigrant for Central or South America apply the proper way and keep up with forms?""  For decades immigration has discriminated against people of color from Central and South America.",mig,en,0,0,0,92
294,"Mandy Manning, one of World Relief's friends and partners @WRSpokane, has just been named 2018 National Teacher of the Year for her work with #refugee and #immigrant students. Read more of her incredible story. âž https://t.co/UaolUHZDAc https://t.co/97AcbCtMTT",mig,en,0,0,0,93
295,Starting Now on Pittsfield ETV: BCC Presents: Access Higher Ed: 'Berkshire Immigrant Stories',mig,en,0,0,0,94
296,@FAIRImmigration @NBCNews @JuliaEAinsley THIS CANNOT BE ALLOWED TO HAPPEN----CHILD KIDNAPPER AND MOLESTER MILLER NEEDS TO BE GONE!,mig,en,1,0,1,95
297,The ONLY thing that can wash away this problem is a Big Red Wave in November!#BigRedWave #SendThemBack #IllegalCriminals,mig,en,1,0,1,96
298,"Canada using DNA testing, ancestry websites to investigate migrantshttps://t.co/9Ln2ZrqYAZAs far as Im concerned, those that entered undocumented / illegally gave up any right to privacy. https://t.co/zLrJzK4GwT",mig,en,0,0,0,97
299,This immigrant should be hung or shot! Period! Animal. https://t.co/wFcGoLCqJ5,mig,en,1,1,1,98
300,Immigrant Health Workers in the UK https://t.co/wzXNfyAMH3 https://t.co/mVaZ0ZCaVE,mig,en,0,0,0,99
301,Don't mess with these migrant dads #SkimmLife https://t.co/swVmkTlFRz via @theSkimm,mig,en,0,0,0,100
302,"After IS is soon finished (US+Turkey secretserv. action), IS fighter have 11000 open Syrian passports for use. Stop immigration to Europe. https://t.co/CaHGlagaPW",mig,en,1,0,0,101
303,"@FAIRImmigration @BreitbartNews @NeilMunroDC Boy, they sure hated being separated from their kids, didn't they?#LiberalismIsAMentalDisorderThe kids shouldn't get to stay!!! #DeportThemAll #EndFamilySeparation!#StopCatchAndRelease",mig,en,1,0,1,102
304,What a wonderful woman! This is the kind of immigrant we need here! 💕🇺🇸🇺🇸🇺🇸💪🏻 https://t.co/L6i1hjN30j,mig,en,0,0,0,103
305,Continued &amp; Sustained damage 2 the Tories! https://t.co/ueBPtdrLVx,mig,en,0,0,0,104
306,"Texas -v- DACA Draws Federal Judge Andrew Hanen, Big Trouble Looms For ImmigrationÂ Activists‘¦ https://t.co/n0aTMQzH7x https://t.co/apheHOzisW",mig,en,0,0,0,105
307,@Kashou_ @soulofkab real talk do you have eyes or were they gouged out by a rapefugee?,mig,en,1,0,1,106
308,"#WakeUp #Spain !! Stop #IllegalImmigration , and #sendthemback . https://t.co/WRcSbwYOAG",mig,en,1,0,1,107
309,@flowers3712 As long as it takes to #BuildThatWall,mig,en,1,0,1,108
310,"Know Your Rights, Defend Your Rights! Come join a training that focuses on building sustainable community resistance against the increased violence against communities of color &amp; immigrant communities. Aug. 8-9. 10am-4pm. Open to all. Sign up is below! https://t.co/z9ZAMQVm8X https://t.co/Q3PaATirPq",mig,en,0,0,0,109
311,US Army Quietly Discharging Immigrant Recruits https://t.co/HSmzX9wGiz,mig,en,0,0,0,110
312,"Libya let #Europe-bound migrants die in Mediterranean, rescue group says https://t.co/t7VzOax8Ye",mig,en,0,0,0,111
313,Danger Treasonous individuals paid for by Soros and globalist @potus @realDonaldTrump #LockHerUp #BuildTheWall #BoycottNike #BoycottNFL #EndDACA now !!!!!,mig,en,1,0,0,112
314,Good News !Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration  #RedNationRising #Trump #MAGA #SendThemHome https://t.co/3u6TddW7NM via @tennessean,mig,en,1,0,0,113
315,I got offered once by a neighbor to go to a church down the street &amp; thought about it but then found out a week later the priest was sexually assaulting immigrant women &amp; threatening to call ICE on them if they told. That was my sign to stay w my little shrine in my room 👋🏼,mig,en,0,0,0,114
316,"This little boy blew his shofar to welcome the new immigrants arrive home in Israel. Arriving from the US, Russia, France, Argentina and Brazil! WATCH the story here: https://t.co/t1LpCt185R #ShabbatShalom https://t.co/8w6QEqOL61",mig,en,0,0,0,115
317,Good Morning Patriots xx Let everything we do be done with them in mind.#WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake,mig,en,1,0,0,116
318,Most ‘˜refugees’ actually come from ‘˜normal’ circumstances  #America #UnitedNations... https://t.co/zX5Uz7aje2 https://t.co/btDlmKz9Pl,mig,en,0,0,0,117
319,"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration  No the German government isn't paying, the German taxpayers are paying! The German government is robbing native Germans to finance the Islamization of Germany.  https://t.co/4CqBuf4in4",mig,en,1,0,0,118
320,He started this hashtag because there's a certain type of immigrant to Germany he doesn't like and wants to humiliate. We @CamburgBahnhof are in that group. RT if you think we should be able to stay and finish our Bahnhof renovation. Danke! #neogermans https://t.co/tzq0qfnqT8,mig,en,0,0,0,119
321,Funny Trump hasn’t had any trouble getting visas for his immigrant labor at his clubs https://t.co/TXSAupYYx6,mig,en,0,0,0,120
322,"Great article on the #refugee crisis in Europe. ""The driving question for Europeans is: “How do we make it stop?” But it refers not to the humanitarian drama of the forcibly displaced, just to their ability to reach Europe."" https://t.co/claSlK8lIH",mig,en,1,0,0,121
323,The issue of #humantrafficking came back to the forefront following death of #Indonesian maid in #Malaysia https://t.co/ZOeBmjDzlE @roskarel @ucanindonesia @jakpost @M_RSection @UNmigration,mig,en,0,0,0,122
324,Uber has become racist organization. If you are an immigrant they deactivate your account even if you are a five star driver with over 2000 plus star claiming reports that is unfounded. No warning just like that.,mig,en,0,0,0,123
325,These are Canadian refugees https://t.co/rzASmgFGJn,mig,en,0,0,0,124
326,"How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm? #BuildTheWall #BuildThatWall #BuildTheDamnWall",mig,en,1,0,1,125
327,"Let’s talk about immigrants fighting fires - not starting them: https://t.co/T8WJbkBWjA (photo: Marcus Yan, Los Angeles Times) https://t.co/jcLg42tuIg",mig,en,0,0,0,126
328,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?",mig,en,0,0,0,127
329,@ChenGonSol @phoenixkhost @phillycustoms So kids of illegal immigration being put in temporary detention centres (which they are put there so they don’t have to go to a full on prison with their parents) = authoritarianism? Surprise: if you cross into a,mig,en,0,0,0,128
330,"Here Illegally you are breaking the law!  The laws states you get deported not a choice ! You dont get to come to the U.S Illegally ,feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome https://t.co/Y9c2Uav5dD",mig,en,1,0,0,129
331,Austria holds drill to simulate repelling illegal migrants at border https://t.co/b62mCw6eB6,mig,en,0,0,0,130
332,A new trend has started Everybody is collecting money for Syrian refugees without any control of govt agencies... https://t.co/yGJjEA9Ld3,mig,en,0,0,0,131
333,#Philippines backs 'long-overdue' UN migration pact #UnitedStates #UnitedNations https://t.co/RtsbEOYjB0 https://t.co/s1dccQuJKe,mig,en,0,0,0,132
334,"@Daily_Record I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise",mig,en,1,0,0,133
335,#ICE #IllegalAliens #Border #Immigration #BringBackOurBorders#Oakland Mayor #LibbySchaaf warned everyone in... https://t.co/aNBFsenKui,mig,en,0,0,0,134
336,"@cscbailey @TechQn @sabine_durden @yinyang9 @HillaryClinton @POTUS 75% of illegal Aliens commit Felons such as ID, SSN and Welfare Theft Illegal #Immigration is not a Victimless Crime ! https://t.co/TM8Yu8IbcW",mig,en,1,0,1,135
337,"New @guardian story by @susborne on #HostileEnvironment in homes, NHS, schools, unis&amp;more. https://t.co/X0lcYqOFUJ  Here's a film &amp; links to our research on this since 2013 #GoHomeVan https://t.co/9ZuyL5uOMt  You can download our @ManchesterUP book here: https://t.co/uvIECMJoDc https://t.co/fbr6w7fVMf",mig,en,0,0,0,136
338,"Why isn't Ann Coulter worried about losing credibility for saying something like ""the immigrant kids being shown in cages are child actors""? by Jim Henley https://t.co/3X73QUtXnT",mig,en,0,0,0,137
339,@DemingRyan s bio on here says #BuildThatWall,mig,en,1,0,0,138
340,Compromise in migration dispute that threatened Merkel's govt https://t.co/Gej78IGbz3,mig,en,0,0,0,139
341,I guess the Koch brothers funded racist Tea Party marches are no longer needed! Republicans ruin the economy &amp; press Democrats to fix the economy! Obama was OBSTRUCTED by Republicans! No help! #SendThemHome! #DontBooVOTE https://t.co/C8fGUY184c,mig,en,0,0,0,140
342,I've pledged to make sure my surgery is a safe space free from the #hostileenvironment. I'm an MP not a border guard https://t.co/X5RPvm5SJY @GlobalJusticeUK @migrantsorg https://t.co/tVioaJm12v,mig,en,0,0,0,141
343,Aquarius boat to resume migrant rescue mission https://t.co/dzN7a0NK1L,mig,en,0,0,0,142
344,"Max Mosely son of Fascist Leader Sir Oswald Mosely   Firstly, seems common practice to get knighted for being a Fascist in Britain  Second, he’s given an awful lot of funding to Tom Watson https://t.co/FURfyShRJi",mig,en,0,0,0,143
345,South Koreans Stand Against Islamic Immigration!!! https://t.co/clDfy5dHyr via @YouTube,mig,en,1,0,0,144
346,@CaliConsrvative @realDonaldTrump Blood is on the #Democraps hands for sure!! #BuildThatWall,mig,en,1,0,1,145
347,@RealDonaldTrump Its time to end Obama Illegal #DACA and Stop Rewarding Illegal I#mmigration U.S Youths need #Jobs #AmericansFirst #Trump #MAGA #RedNAtionRising #WalkAway https://t.co/DpAYWcHolj via @voxdotcom,mig,en,1,0,1,146
348,@SocialPowerOne1 Not our problem #sendthemhome,mig,en,0,0,0,147
349,@FoxNews We need our ARMY down there to #StopTheInvasion!!!WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders?!!?!??!,mig,en,1,0,1,148
350,@J_VoiceUK Listening to the world service this am criticism of Israel for wanting to deport young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie,mig,en,1,0,0,149
351,Daily migrant invasions  #migrant #buildthewall #illegal #trespassers #sendthemback https://t.co/QSLuo17CrJ,mig,en,1,0,0,150
352,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune https://t.co/AXXfEhCEmz,mig,en,0,0,0,151
353,Europeans Are Waking Up! | How Even Ordinary People Are Beginning to Take Action Against Immigration - YouTube https://t.co/xU464l93WS,mig,en,1,0,0,152
354,Apparently the Dutch Red Cross is trying to raise funds for the repatriation of Syrian refugees. Which seems both premature and irresponsible. https://t.co/ui1yylu0eG,mig,en,0,0,0,153
355,"Homes use to look beautiful and full of effort now they are just mass produced to fit the third world ""immigrants""",mig,en,1,0,0,154
356,"Spain's overwhelmed coastguard says it can't cope with migrant influx, as 700 rescued in oneÂ… https://t.co/1dx6usc6yb",mig,en,0,0,0,155
357,"Fox Scumbag Laura Ingraham claims Trump is protecting immigrant children from their drug abusing, child trafficking parents  Read Story: https://t.co/9RPrxjNeiy   #ImpeachTrump #Resist #VoteBlue #GOPScum #FoxLies https://t.co/MCCO9UbZxO",mig,en,0,0,0,156
358,@buzzman888 @Golfinggary5222 .Can you say #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildT,mig,en,1,0,0,157
359,The Pope is exposed for his direct involvement in Italy’s migrant crisis ‘“ Leo Zagami https://t.co/J0kgKKgAQs,mig,en,0,0,0,158
360,"@ICEgov GOD BLESS ICE, THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS. #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG",mig,en,1,0,1,159
